,Keyword,Volumne,Keyword Difficulty,CPC,CPC (USD)
227,risk management corporate banking,NAN,NAN,NAN,NAN
228,bank risk management,NAN,NAN,NAN,NAN
229,financial risk management banking,NAN,NAN,NAN,NAN
230,bank risk management program,NAN,NAN,NAN,NAN
231,masters in international banking and finance,NAN,0.0,NAN,0.0
232,banking and international finance masters,NAN,0.0,NAN,0.0
233,international banking and finance masters,NAN,0.0,NAN,0.0
234,masters in international finance and banking,NAN,0.0,NAN,0.0
235,frm madrid,NAN,NAN,NAN,NAN
236,frm spain,NAN,NAN,NAN,NAN
237,master in financial risk management madrid,NAN,NAN,NAN,NAN
238,master in financial risk management spain,NAN,NAN,NAN,NAN
239,master in frm madrid,NAN,NAN,NAN,NAN
240,master in finance madrid,NAN,NAN,NAN,NAN
241,master in risk management madrid,NAN,NAN,NAN,NAN
